Species ID,common_name
DEVA-3171,Fairy Dusters
DEVA-3172,None
DEVA-3173,Prairie Clover
DEVA-3173,Prairieclover
DEVA-3173,Prairieclovers
DEVA-3174,None
DEVA-3175,None
DEVA-3176,Gregg's Prairie Clover
DEVA-3177,Dalea Mollis
DEVA-3178,Silky Dalea
DEVA-3179,None
DEVA-3180,None
DEVA-3181,None
DEVA-3182,Searls' Prairieclover
DEVA-3183,None
DEVA-3184,Wild Licorice
DEVA-3185,None
DEVA-3186,Streambank Birdsfoot Trefoil
DEVA-3187,Grassleaf Pea
DEVA-3187,Grassleaf Peavine
DEVA-3188,Bullfrog Hills Wild Pea
DEVA-3189,None
DEVA-3190,None
DEVA-3191,None
DEVA-3192,None
DEVA-3193,Marsh Pea
DEVA-3193,Marsh Vetchling
DEVA-3194,None
DEVA-3195,Pride Of California
DEVA-3196,Deervetch
DEVA-3196,Trefoil
DEVA-3197,None
DEVA-3198,Mat Lotus
DEVA-3199,Streambank Bird's-Foot Trefoil
DEVA-3199,Streambank Trefoil
DEVA-3200,Desert Deervetch
DEVA-3201,Lupine
DEVA-3202,Silver Lupine
DEVA-3203,Anderson's Lupine
DEVA-3204,Silvery Lupine
DEVA-3205,Palmer's Lupine
DEVA-3206,None
DEVA-3207,Arizona Lupine
DEVA-3208,Sand Lupine
DEVA-3209,Tailcup Lupine
DEVA-3210,Orcutt Lupine
DEVA-3210,Orcutt's Lupine
DEVA-3211,Grape Soda Lupine
DEVA-3212,Yellow-Eyed Lupine
DEVA-3213,None
DEVA-3214,Holmgren's Lupine
DEVA-3215,Holo Lupine
DEVA-3215,Nuttall's Lupine
DEVA-3216,Panamint Mountain Lupine
DEVA-3217,Panamint Mountain Lupine
DEVA-3218,Panamint Mountains Lupine
DEVA-3219,None
DEVA-3220,Nevada Lupine
DEVA-3221,Mojave Lupine
DEVA-3222,Mojave Lupine
DEVA-3222,Mojave Royal Lupine
DEVA-3223,Ornate Lupine
DEVA-3224,Pale Desert Lupine
DEVA-3225,None
DEVA-3226,Low Lupine
DEVA-3226,Rusty Lupine
DEVA-3226,Small Lupine
DEVA-3227,Rusty Lupine
DEVA-3228,Intermountain Lupine
DEVA-3229,Desert Lupine
DEVA-3230,Mojave Lupine
DEVA-3231,Black Medick
DEVA-3232,Alfalfa
DEVA-3233,Sweet Clover
DEVA-3233,Sweetclover
DEVA-3234,White Sweetclover
DEVA-3235,White Sweetclover
DEVA-3236,Sourclover
DEVA-3237,Yellow Sweetclover
DEVA-3238,Desert Ironwood
DEVA-3239,Parry Pointvetch
DEVA-3239,Parry's Crazyweed
DEVA-3239,Parry's Oxytrope
DEVA-3240,None
DEVA-3241,None
DEVA-3242,Mexican Palo Verde
DEVA-3243,Blue Palo Verde
DEVA-3244,None
DEVA-3245,None
DEVA-3246,None
DEVA-3247,None
DEVA-3248,None
DEVA-3249,None
DEVA-3250,Beaver Dam Scurfpea
DEVA-3251,None
DEVA-3252,None
DEVA-3253,Thompson's Peteria
DEVA-3254,Mesquite
DEVA-3255,Algarrobo
DEVA-3256,None
DEVA-3257,Honey Mesquite
DEVA-3258,None
DEVA-3259,None
DEVA-3260,Screw Bean Mesquite
DEVA-3261,None
DEVA-3262,None
DEVA-3263,Smokebush
DEVA-3264,Mojave Dalea
DEVA-3264,Mojave Indigobush
DEVA-3264,Mojave Smokebush
DEVA-3265,None
DEVA-3266,Indigo Bush
DEVA-3267,Fremont's Indigo Bush
DEVA-3268,Fremont's Dalea
DEVA-3269,Fremont's Indigo Bush
DEVA-3270,None
DEVA-3271,Dotted Indigo Bush
DEVA-3272,Nevada Dalea
DEVA-3272,Nevada Smokebush
DEVA-3273,Smoke Tree
DEVA-3274,Black Locust
DEVA-3275,Catclaw
DEVA-3276,Spiny Senna
DEVA-3277,Spanish Broom
DEVA-3277,Weaver's Broom
DEVA-3278,None
DEVA-3279,Little Hop Clover
DEVA-3280,White Clover
DEVA-3281,Whitetip Clover
DEVA-3282,Wormskiold's Clover
DEVA-3283,Chinese Wisteria
DEVA-3284,None
DEVA-3285,None
DEVA-3286,Spiny Milkwort
DEVA-3286,Beaked Spiny Polygala
DEVA-3287,Spiny Milkwort
DEVA-3287,Spiny Polygala
DEVA-3288,Rhombie Leaf Alder
DEVA-3288,White Alder
DEVA-3289,Western Water Birch
DEVA-3290,California Live Oak
DEVA-3290,Coast Live Oak
DEVA-3291,Canyon Live Oak
DEVA-3292,Gambel's Oak
DEVA-3293,California White Oak
DEVA-3293,Valley Oak
DEVA-3294,Scrub Oak
DEVA-3294,Shrub Live Oak
DEVA-3294,Sonoran Scrub Oak
DEVA-3294,Turbinella Oak
DEVA-3295,Interior Live Oak
DEVA-3296,Japanese Laurel
DEVA-3297,Hairy-Leaved Amsonia
DEVA-3298,Indian Hemp
DEVA-3299,None
DEVA-3300,Eastwood's Milkweed
DEVA-3301,Desert Milkweed
DEVA-3302,Narrow-Leaf Milkweed
DEVA-3303,Rush Milkweed
DEVA-3304,Parish's Woolly Milkweed
DEVA-3305,Sacramento Waxy Dogbane
DEVA-3306,South American Oleander
DEVA-3307,Luckynut
DEVA-3308,Greater Periwinkle
DEVA-3309,Common Periwinkle
DEVA-3309,Lesser Periwinkle
DEVA-3309,Myrtle
DEVA-3310,Arizona Centaury
DEVA-3311,Centaury
DEVA-3312,None
DEVA-3313,Desert Frasera
DEVA-3314,None
DEVA-3315,Green Gentian
DEVA-3316,Bedstraw
DEVA-3317,Argus Bedstraw
DEVA-3318,Low Mountain Bedstraw
DEVA-3319,Panamint Mountains Bedstraw
DEVA-3320,Hilend's Bedstraw
DEVA-3321,Kingston Bedstraw
DEVA-3321,Kingston Mountains Bedstraw
DEVA-3322,Nevada Bedstraw
DEVA-3323,Telescope Peak Bedstraw
DEVA-3324,Telescope Peak Bedstraw
DEVA-3325,Matthew's Bedstraw
DEVA-3326,Many-Flowered Bedstraw
DEVA-3327,Munz's Bedstraw
DEVA-3328,None
DEVA-3329,Desert Bedstraw
DEVA-3330,Filaree
DEVA-3330,Stork's Bill
DEVA-3331,Filaree
DEVA-3332,Texas Filaree
DEVA-3333,Bear's Breech
DEVA-3334,Desert Honeysuckle
DEVA-3335,None
DEVA-3336,Desert-Willow
DEVA-3337,Dwarf False Pennyroyal
DEVA-3337,Dwarf Pennyroyal
DEVA-3337,False Pennyroyal
DEVA-3338,Desert Lavender
DEVA-3339,Horehound
DEVA-3340,Spearmint
DEVA-3341,Desert Monardella
DEVA-3342,Flaxleaf Mountainbalm
DEVA-3343,None
DEVA-3344,Horsemint
DEVA-3345,None
DEVA-3346,Selfheal
DEVA-3347,Bladder Sage
DEVA-3348,Sage
DEVA-3349,None
DEVA-3350,Chia
DEVA-3351,None
DEVA-3352,None
DEVA-3353,None
DEVA-3354,Purple Sage
DEVA-3355,Desert Sage
DEVA-3356,Desert Sage
DEVA-3357,Death Valley Sage
DEVA-3358,Autumn Sage
DEVA-3359,Mojave Sage
DEVA-3360,Blue Sage
DEVA-3361,Blue Skullcap
DEVA-3362,White Hedge Nettle
DEVA-3363,Devilsclaw
DEVA-3363,Doubleclaw
DEVA-3364,Devil's Claw
DEVA-3365,Desert Olive
DEVA-3366,None
DEVA-3367,Single-Leaf Ash
DEVA-3368,None
DEVA-3369,Velvet Ash
DEVA-3370,None
DEVA-3371,None
DEVA-3372,Spiny Menodora
DEVA-3373,None
DEVA-3374,Olive
DEVA-3375,None
DEVA-3376,Indian Paintbrush
DEVA-3377,Desert Paintbrush
DEVA-3378,Wavy Leaved Paintbrush
DEVA-3379,Desert Indian Paintbrush
DEVA-3380,None
DEVA-3381,Long-Leaved Paintbrush
DEVA-3382,Alkali Indian Paintbrush
DEVA-3382,Lesser Indian Paintbrush
DEVA-3383,Small-Flowered Annual Paintbrush
DEVA-3384,Dwarf Alpine Indian Paintbrush
DEVA-3384,Dwarf Alpine Paintbrush
DEVA-3385,None
DEVA-3386,Tecopa Bird's-Beak
DEVA-3387,None
DEVA-3388,Desert Bird's-Beak
DEVA-3389,Heller's Bird-Beak
DEVA-3390,Saltmarsh Bird'sbeak
DEVA-3390,Saltmarsh Bird's-Beak
DEVA-3391,None
DEVA-3392,Tecopa Bird's Beak
DEVA-3392,Tecopa Bird's-Beak
DEVA-3393,California Broom-Rape
DEVA-3394,Desert Broomrape
DEVA-3395,Cooper's Broom-Rape
DEVA-3396,Corymb Broom-Rape
DEVA-3397,Corymb Broom-Rape
DEVA-3398,Clustered Broom-Rape
DEVA-3399,Monkeyflower
DEVA-3399,Monkey-Flower
DEVA-3400,Bigelow's Monkeyflower
DEVA-3401,Bigelow's Monkeyflower
DEVA-3402,Sticky-Leaved Monkeyflower
DEVA-3402,Panamint Monkeyflower
DEVA-3402,Compact Monkeyflower
DEVA-3403,None
DEVA-3404,Brewer's Monkeyflower
DEVA-3405,Scarlet Monkeyflower
DEVA-3406,Many-Flowered Monkeyflower
DEVA-3407,None
DEVA-3408,Many-Flowered Monkeyflower
DEVA-3409,None
DEVA-3410,Moutain Monkeyflower
DEVA-3411,Dwarf Purple Monkeyflower
DEVA-3412,Foul Odor Monkeyflower
DEVA-3413,Parish's Monkeyflower
DEVA-3414,Clammy Monkeyflower
DEVA-3415,Red-Stemmed Monkeyflower
DEVA-3416,Death Valley Monkeyflower
DEVA-3417,None
DEVA-3418,Suksdorf's Monkeyflower
DEVA-3419,None
DEVA-3420,None
DEVA-3421,None
DEVA-3422,None
DEVA-3423,None
DEVA-3424,None
DEVA-3425,None
DEVA-3426,None
DEVA-3427,None
DEVA-3428,None
DEVA-3429,None
DEVA-3430,None
DEVA-3431,None
DEVA-3432,Yellow Twining Snapdragon
DEVA-3433,None
DEVA-3434,None
DEVA-3435,None
DEVA-3436,None
DEVA-3437,King's Snapdragon
DEVA-3438,None
DEVA-3439,None
DEVA-3440,Garden Snapdragon
DEVA-3441,None
DEVA-3442,None
DEVA-3443,None
DEVA-3444,None
DEVA-3445,None
DEVA-3446,None
DEVA-3447,None
DEVA-3448,Lesser Snapdragon
DEVA-3448,Linearleaf Snapdragon
DEVA-3449,Oval-Leaved Snapdragon
DEVA-3450,None
DEVA-3451,None
DEVA-3452,None
DEVA-3453,None
DEVA-3454,None
DEVA-3455,Dimorphic Snapdragon
DEVA-3456,None
DEVA-3457,None
DEVA-3458,None
DEVA-3459,None
DEVA-3460,None
DEVA-3461,None
DEVA-3462,Large-Fruited Collinsia
DEVA-3463,Wright's Blue Eyed Mary
DEVA-3464,Kenilworth Ivy
DEVA-3465,Balloonbush
DEVA-3466,None
DEVA-3467,None
DEVA-3468,Showy Greenbright
DEVA-3469,Rock Lady
DEVA-3470,Ovateleaf Snapdragon
DEVA-3471,Rothrock's Penstemon
DEVA-3472,Cancerwort
DEVA-3472,Fluvellin
DEVA-3472,Roundleaf Fluvellin
DEVA-3472,Sharpleaf Cancerwort
DEVA-3472,Sharppoint Fluvellin
DEVA-3473,Roundleaf Cancerwort
DEVA-3474,Canada Toadflax
DEVA-3475,Dalmatian Toadflax
DEVA-3475,Dalmation Toadflax
DEVA-3476,None
DEVA-3477,Broomleaf Toadflax
DEVA-3478,Pineneedle Toadflax
DEVA-3479,Purple Toadflax
DEVA-3480,Striped Toadflax
DEVA-3481,None
DEVA-3482,Ballast Toadflax
DEVA-3483,Butter And Eggs
DEVA-3483,Flaxweed
DEVA-3483,Greater Butter-And-Eggs
DEVA-3483,Jacob's Ladder
DEVA-3483,Ramsted
DEVA-3483,Wild Snapdragon
DEVA-3483,Yellow Toadflax
DEVA-3484,None
DEVA-3485,None
DEVA-3486,Mexican Twist
DEVA-3487,None
DEVA-3488,None
DEVA-3489,Brittlestem
DEVA-3490,Climbing Snapdragon
DEVA-3490,Roving Sailor
DEVA-3491,None
DEVA-3492,None
DEVA-3493,None
DEVA-3494,Mexican Viper
DEVA-3495,None
DEVA-3496,None
DEVA-3497,None
DEVA-3498,None
DEVA-3499,None
DEVA-3500,None
DEVA-3501,Golden Desert Snapdragon
DEVA-3502,Ghost Flower
DEVA-3502,Ghostflower
DEVA-3503,None
DEVA-3504,Filipes' Snapdragon
DEVA-3504,Yellow Twining Snapdragon
DEVA-3504,Yellow Twining-Snapdragon
DEVA-3505,None
DEVA-3506,Kellogg's Snapdragon
DEVA-3507,Beardtongue
DEVA-3508,None
DEVA-3509,Nevada Sanddune Beardtongue
DEVA-3509,Sanddune Penstemon
DEVA-3510,None
DEVA-3511,Limestone Beardtongue
DEVA-3512,None
DEVA-3513,Blue Penstemon
DEVA-3514,None
DEVA-3515,Eaton's Beardtongue
DEVA-3516,Panamint Beardtongue
DEVA-3516,Panamint Penstemon
DEVA-3517,Austin's Beardtongue
DEVA-3518,Panamint Beardtongue
DEVA-3519,Fremont's Beardtongue
DEVA-3519,Fremont's Penstemon
DEVA-3520,Death Valley Beardtongue
DEVA-3521,Death Valley Beardtongue
DEVA-3522,Death Valley Beardtongue
DEVA-3523,Sawsepal Penstemon
DEVA-3523,Western Smooth Beardtongue
DEVA-3524,Mojave Beardtongue
DEVA-3525,Southwestern Beardtongue
DEVA-3525,Southwestern Penstemon
DEVA-3526,Lemhi Beardtongue
DEVA-3526,Lemhi Penstemon
DEVA-3527,Mono Penstemon
DEVA-3528,Pahute Mesa Beardtongue
DEVA-3529,Palmer's Penstemon
DEVA-3530,Palmer's Beardtongue
DEVA-3531,Blue Mountain Beardtongue
DEVA-3532,Desert Penstemon
DEVA-3533,Bridge's Beardtongue
DEVA-3534,Pinyon Beardtongue
DEVA-3535,Showy Beardtongue
DEVA-3536,Ward Beardtongue
DEVA-3536,Ward's Beardtongue
DEVA-3537,English Plantain
DEVA-3538,Common Plantain
DEVA-3539,Woolly Plantain
DEVA-3540,Woolly Plantain
DEVA-3541,Woolly Plantain
DEVA-3542,None
DEVA-3543,Dog's-Mouth
DEVA-3544,American Brooklime
DEVA-3545,Water Speedwell
DEVA-3546,None
DEVA-3547,Woolly Butterflybush
DEVA-3548,Panamint Butterfly Bush
DEVA-3549,Texas Silverleaf
DEVA-3550,None
DEVA-3551,None
DEVA-3552,None
DEVA-3553,None
DEVA-3554,None
DEVA-3555,None
DEVA-3556,None
DEVA-3557,None
DEVA-3558,None
DEVA-3559,None
DEVA-3560,None
DEVA-3561,None
DEVA-3562,None
DEVA-3563,None
DEVA-3564,None
DEVA-3565,California Figwort
DEVA-3566,California Figwort
DEVA-3567,Rixford Rockwort
DEVA-3568,Big Taper
DEVA-3568,Common Mullein
DEVA-3568,Flannel Mullein
DEVA-3568,Flannel Plant
DEVA-3568,Great Mullein
DEVA-3568,Mullein
DEVA-3568,Velvet Dock
DEVA-3568,Velvet Plant
DEVA-3568,Woolly Mullein
DEVA-3569,Largeleaf Lantana
DEVA-3570,Lantana
DEVA-3571,Lance-Leaf Fogfruit
DEVA-3572,Bigbract Vervain
DEVA-3573,Sego Lily
DEVA-3574,Inyo County Star-Tulip
DEVA-3574,Inyo Mariposa Lily
DEVA-3575,Weakstem Mariposa Lily
DEVA-3576,Desert Mariposa Lily
DEVA-3577,Desert Mariposa Lily
DEVA-3578,Desert Mariposa Lily
DEVA-3579,None
DEVA-3580,None
DEVA-3581,Panamint Mariposa Lily
DEVA-3582,Alkali Mariposa Lily
DEVA-3583,Spotted Mission Bells
DEVA-3584,Pinewoods Mission Bells
DEVA-3585,Rattlesnake Weed
DEVA-3586,Fendler's Sandmat
DEVA-3587,Spotted Spurge
DEVA-3588,Dunes Spurge
DEVA-3589,Dunes Spurge
DEVA-3590,Parish's Spurge
DEVA-3591,Parry's Sandmat
DEVA-3591,Parry's Spurge
DEVA-3592,Sand Mat
DEVA-3593,Bristle-Lobed Sandmat
DEVA-3594,California Croton
DEVA-3595,Mojave Croton
DEVA-3596,Doveweed
DEVA-3596,Turkey Mullein
DEVA-3597,Spurge
DEVA-3598,Whitemargin Sandmat
DEVA-3599,Chinese Caps
DEVA-3599,Chinesecaps
DEVA-3600,Fendler's Sandmat
DEVA-3601,Sonoran Sandmat
DEVA-3602,None
DEVA-3603,None
DEVA-3604,Parish's Sandmat
DEVA-3605,Smallseed Sandmat
DEVA-3606,Mojave Spurge
DEVA-3607,None
DEVA-3608,Yuma Sandmat
DEVA-3609,Agaliya
DEVA-3609,Castor Bean
DEVA-3609,Castorbean
DEVA-3609,Lama Palagi
DEVA-3609,Maskerekur
DEVA-3609,Toto Ni Vavalagi
DEVA-3609,Uluchula Skoki
DEVA-3610,Lewis' Flax
DEVA-3611,Passionflower
DEVA-3611,Purple Granadilla
DEVA-3612,Holly-Leaved Tetracoccus
DEVA-3613,Cottonwood
DEVA-3614,Narrow Leaved Cottonwood
DEVA-3615,Fremont Cottonwood
DEVA-3616,None
DEVA-3617,Lombardy Poplar
DEVA-3618,Black Cottonwood
DEVA-3619,Willow
DEVA-3620,Narrow-Leaved Willow
DEVA-3621,Goodding's Black Willow
DEVA-3622,None
DEVA-3623,Red Willow
DEVA-3624,None
DEVA-3625,Shining Willow
DEVA-3626,Arroyo Willow
DEVA-3627,None
DEVA-3628,Black Willow
DEVA-3629,Astoria Violet
DEVA-3629,Canary Violet
DEVA-3630,Goosefoot Yellow Violet
DEVA-3631,White Mallow
DEVA-3632,Desert Five-Spot
DEVA-3633,None
DEVA-3634,Fremont's Bushmallow
DEVA-3635,Cheeseweed
DEVA-3636,None
DEVA-3637,Alkali-Mallow
DEVA-3638,None
DEVA-3639,None
DEVA-3640,Owens Valley Checkermallow
DEVA-3640,Owens Valley Sidalcea
DEVA-3641,Globemallow
DEVA-3642,Desert Globemallow
DEVA-3643,Apricot Globemallow
DEVA-3644,Parish Mallow
DEVA-3645,Apricot Mallow
DEVA-3646,Munro's Globemallow
DEVA-3647,Carrizo Creek Globe-Mallow
DEVA-3647,Carrizo Creek Globemallow
DEVA-3648,Smallflower Globemallow
DEVA-3649,None
DEVA-3650,None
DEVA-3651,Cutleaf Globemallow
DEVA-3651,Rusby's Globemallow
DEVA-3652,Rusby's Desert Mallow
DEVA-3653,None
DEVA-3654,Crapemyrtle
DEVA-3655,California Loosestrife
DEVA-3656,Pomegranate
DEVA-3657,Desert Gum
DEVA-3657,Western Australian Floodedgum
DEVA-3658,None
DEVA-3659,Suncup
DEVA-3660,Intermediate Shredding Primrose
DEVA-3661,None
DEVA-3662,Fewflower Evening Primrose
DEVA-3662,Fewflower Evening-Primrose
DEVA-3662,Shortflower Suncup
DEVA-3663,Golden Suncup
DEVA-3664,Pallid Suncup
DEVA-3665,Shockley's Evening Primrose
DEVA-3665,Shockley's Evening-Primrose
DEVA-3665,Shockley's Suncup
DEVA-3666,None
DEVA-3667,Gilman's Primrose
DEVA-3668,Cane Spring Suncup
DEVA-3668,Largeflower Suncup
DEVA-3669,Wingfruit Suncup
DEVA-3669,Wing-Fruit Suncup
DEVA-3669,Wingseed Suncup
DEVA-3670,Hairy Suncup
DEVA-3671,Raven's Primrose
DEVA-3672,Walker's Suncup
DEVA-3673,Walker's Suncup
DEVA-3674,Narrow-Leaved Fireweed
DEVA-3675,Yellow Cups
DEVA-3676,Golden Evening-Primrose
DEVA-3677,Pale Yellow Primrose
DEVA-3678,Heart-Leaved Primrose
DEVA-3679,Browneyes
DEVA-3680,Death Valley Brown-Eyed Primrose
DEVA-3681,Pale-Eyed Primrose
DEVA-3682,Lanceleaf Brown-Eyed Primrose
DEVA-3683,Shockley's Evening Primrose
DEVA-3684,Munz's Primrose
DEVA-3685,Pigmy Primrose
DEVA-3686,Walker's Primrose
DEVA-3687,Fireweed
DEVA-3688,California Fuchsia
DEVA-3689,Willow-Herb
DEVA-3690,Booth's Evening Primrose
DEVA-3691,Pine Creek Evening Primrose
DEVA-3692,Dos Palmas Springs Primrose
DEVA-3693,Shredding Evening Primrose
DEVA-3694,Longcapsule Suncup
DEVA-3695,Nelson's Evening Primrose
DEVA-3696,Narrow-Leaved Primrose
DEVA-3697,Deceiving Gayophytum
DEVA-3698,Diffuse Gayophytum
DEVA-3699,Pinyon Groundsmoke
DEVA-3700,Evening Primrose
DEVA-3700,Eveningprimrose
DEVA-3700,Evening-Primrose
DEVA-3701,Tufted Evening Primrose
DEVA-3702,Caespitose Evening Primrose
DEVA-3703,Fragrant Evening Primrose
DEVA-3704,California Suncup
DEVA-3705,California Evening Primrose
DEVA-3706,Eureka Dunes Evening Primrose
DEVA-3707,None
DEVA-3708,None
DEVA-3709,None
DEVA-3710,None
DEVA-3711,None
DEVA-3712,None
DEVA-3713,Birdcage Evening Primrose
DEVA-3713,Birdcage Eveningprimrose
DEVA-3713,Birdcage Evening-Primrose
DEVA-3713,Dune Primrose
DEVA-3714,Devil's Lantern
DEVA-3715,Hooker's Evening Primrose
DEVA-3715,Hooker's Eveningprimrose
DEVA-3715,Hooker's Evening-Primrose
DEVA-3715,Western Eveningprimrose
DEVA-3716,Hooker's Evening Primrose
DEVA-3717,None
DEVA-3718,None
DEVA-3719,None
DEVA-3720,None
DEVA-3721,Desert Evening Primrose
DEVA-3722,None
DEVA-3723,None
DEVA-3724,None
DEVA-3725,Palmer Evening Primrose
DEVA-3726,Arizona Cypress
DEVA-3726,Arizona Smooth Cypress
DEVA-3726,Cuyamaca Cypress
DEVA-3726,Piute Cypress
DEVA-3727,Cedar
DEVA-3727,Juniper
DEVA-3727,Redcedar
DEVA-3727,Sabino
DEVA-3728,Western Juniper
DEVA-3729,Sierra Juniper
DEVA-3729,Western Juniper
DEVA-3730,Utah Juniper
DEVA-3731,Balsam Fir
DEVA-3731,Colorado Fir
DEVA-3731,Concolor Fir
DEVA-3731,Silver Fir
DEVA-3731,White Balsam
DEVA-3731,White Fir
DEVA-3732,None
DEVA-3733,Colorado Pinyon
DEVA-3733,Nut Pine
DEVA-3733,Pi_On Pine
DEVA-3733,Pinyon
DEVA-3733,Pinyon Pine
DEVA-3733,Two-Leaf Pinyon
DEVA-3733,Twoneedle Pinyon
DEVA-3733,Two-Needle Pinyon
DEVA-3734,Limber Pine
DEVA-3735,Western Bristlecone Pine
DEVA-3736,Singleleaf Pinyon Pine
DEVA-3737,Blackjack Pine
DEVA-3737,Bull Pine
DEVA-3737,Ponderosa Pine
DEVA-3737,Rock Pine
DEVA-3737,Western Yellow Pine
DEVA-3738,None
DEVA-3739,Yerba Mansa
DEVA-3740,Cosmopolitan Bulrush
DEVA-3741,Alkali Bulrush
DEVA-3742,Carex
DEVA-3742,Sedge
DEVA-3742,Sedge Species
DEVA-3742,Sedges
DEVA-3743,Abrupt-Beaked Sedge
DEVA-3744,Sturdy Sedge
DEVA-3745,Golden Sedge
DEVA-3746,Golden Sedge
DEVA-3747,Hass' Sedge
DEVA-3748,Nebraska Sedge
DEVA-3749,Dunehead Sedge
DEVA-3749,Dunhead Sedge
DEVA-3750,Clustered Field Sedge
DEVA-3751,Ross' Sedge
DEVA-3752,Rusty Sedge
DEVA-3753,California Saw-Grass
DEVA-3754,Nutsedge
DEVA-3755,Smooth Nutgrass
DEVA-3756,Umbrella Sedge
DEVA-3757,Spikerush
DEVA-3757,Spikesedge
DEVA-3758,Sand Spikerush
DEVA-3759,Parish's Spikerush
DEVA-3760,Dwarf Spikerush
DEVA-3760,Dwarf Spikesedge
DEVA-3760,Little-Head Spikerush
DEVA-3760,Little-Head Spike-Rush
DEVA-3761,Beaked Spikerush
DEVA-3762,Hot Springs Fimbristylis
DEVA-3763,Tule
DEVA-3764,Black Sedge
DEVA-3765,Bulrush
DEVA-3765,Bulrushes
DEVA-3766,Hardstem Bulrush
DEVA-3767,None
DEVA-3768,American Bulrush
DEVA-3769,None
DEVA-3770,Rush
DEVA-3771,Mountain Rush
DEVA-3772,Baltic Rush
DEVA-3773,None
DEVA-3774,Toad Rush
DEVA-3775,Cooper's Rush
DEVA-3776,Dubius Rush
DEVA-3777,Longstyle Rush
DEVA-3778,Mexican Rush
DEVA-3779,Knotted Rush
DEVA-3780,Straight-Leaf Rush
DEVA-3781,Pointed Rush
DEVA-3782,Rocky Mountain Rush
DEVA-3783,Basket Rush
DEVA-3784,Torrey's Rush
DEVA-3785,Iris-Leaf Rush
DEVA-3786,Achnatherum
DEVA-3786,Needlegrass
DEVA-3786,Needlegrass Spp.
DEVA-3787,Indian Ricegrass
DEVA-3788,Small Crested Needlegrass
DEVA-3789,None
DEVA-3790,Desert Needlegrass
DEVA-3791,Webber Needlegrass
DEVA-3792,Other Wheatgrasses
DEVA-3792,Wheatgrass
DEVA-3793,Clustered Wheat Grass
DEVA-3793,Desert Wheatgrass
DEVA-3794,Spike Bent Grass
DEVA-3795,None
DEVA-3796,Creeping Bent Grass
DEVA-3797,American Beachgrass
DEVA-3798,Bluestem
DEVA-3799,Southwestern Bushy Bluestem
DEVA-3800,None
DEVA-3801,Annual Threeawn
DEVA-3801,Perennial Threeawn
DEVA-3801,Perennial Threeawn Species
DEVA-3801,Threeawn
DEVA-3802,Six-Weeks Three-Awn
DEVA-3803,None
DEVA-3804,Purple Threeawn
DEVA-3805,Blue Three-Awn
DEVA-3806,Parish's Three-Awn
DEVA-3807,Purple Three-Awn
DEVA-3808,Wright's Three-Awn
DEVA-3809,Giant Reed
DEVA-3810,Slender Wild Oat
DEVA-3811,None
DEVA-3812,None
DEVA-3813,King's Eyelash Grass
DEVA-3814,Six Weeks Grama
DEVA-3815,None
DEVA-3816,Red Grama
DEVA-3817,Australian Brome
DEVA-3818,Arizona Brome
DEVA-3819,Chilean Chess
DEVA-3820,California Brome
DEVA-3821,Mountain Brome
DEVA-3822,Rescue Grass
DEVA-3823,Ripgut Grass
DEVA-3824,Red Brome
DEVA-3825,Cheat Grass
DEVA-3826,Silky Fingergrass
DEVA-3827,Pampas Grass
DEVA-3828,Bermuda Grass
DEVA-3829,Fluff Grass
DEVA-3830,None
DEVA-3831,Annual Hairgrass
DEVA-3832,Crabgrass
DEVA-3833,None
DEVA-3834,Saltgrass
DEVA-3835,Saltgrass
DEVA-3836,None
DEVA-3837,None
DEVA-3838,None
DEVA-3839,None
DEVA-3840,Jungle Rice
DEVA-3841,None
DEVA-3842,Barnyard Grass
DEVA-3843,Wildrye
DEVA-3844,Basin Wildrye
DEVA-3845,Big Wildrye
DEVA-3846,Squirreltail
DEVA-3847,California Squirreltail
DEVA-3848,Bottlebrush Squirreltail
DEVA-3848,Squirreltail
DEVA-3849,Short Leaved Squirreltail
DEVA-3850,Blue Wild Rye
DEVA-3851,Big Squirreltail
DEVA-3852,Beardless Wildrye
DEVA-3853,None
DEVA-3854,Slender Wheatgrass
DEVA-3855,Salt Ryegrass
DEVA-3856,Hansen Squirreltail
DEVA-3856,Hansen's Wildrye
DEVA-3857,None
DEVA-3858,Stinkgrass
DEVA-3859,None
DEVA-3860,Tufted Lovegrass
DEVA-3861,None
DEVA-3862,Tropical Cup Grass
DEVA-3863,Hairy Erioneuron
DEVA-3864,Spike Fescue
DEVA-3865,Small-Flowered Reflexed Vulpia
DEVA-3866,Sixweeks Fescue
DEVA-3867,Sixweeks Fescue
DEVA-3868,None
DEVA-3869,Curly-Mesquite
DEVA-3869,Hilaria
DEVA-3870,Jame's Galleta
DEVA-3870,Galleta
DEVA-3871,Big Galleta
DEVA-3872,None
DEVA-3873,Mouse Barley
DEVA-3874,Blue-Gray Barley
DEVA-3875,Barley
DEVA-3876,Satintail
DEVA-3877,Prairie Junegrass
DEVA-3878,None
DEVA-3879,Mexican Sprangletop
DEVA-3880,Spike Fescue
DEVA-3880,Spike-Fescue
DEVA-3881,Darnel
DEVA-3881,Darnel Ryegrass
DEVA-3881,Poison Darnel
DEVA-3882,Tall Oniongrass
DEVA-3883,Small-Flowered Oniongrass
DEVA-3884,Rock Melicgrass
DEVA-3885,Shoregrass
DEVA-3886,Foxtail Muhly
DEVA-3887,Scratchgrass
DEVA-3888,Blue Muhly Grass
DEVA-3889,Littleseed Muhly
DEVA-3890,Bushy Muhly
