Species ID,common_name
ACAD-1085,Canada Goose
ACAD-1085,Eastern Canada Goose
ACAD-1086,Bufflehead
ACAD-1086,Buffle-Head
ACAD-1087,American Golden-Eye
ACAD-1087,Common Goldeneye
ACAD-1088,Barrow's Goldeneye
ACAD-1089,Labrador Duck
ACAD-1090,Blue Goose
ACAD-1090,Snow Goose
ACAD-1091,Long-Tailed Duck
ACAD-1091,Old Squaw
ACAD-1091,Oldsquaw
ACAD-1092,Tundra Swan
ACAD-1092,Whistling Swan
ACAD-1093,Eastern Harlequin Duck
ACAD-1093,Harlequin Duck
ACAD-1094,Hooded Merganser
ACAD-1095,Eastern White-Winged Scoter
ACAD-1095,White-Winged Coot
ACAD-1095,White-Winged Scoter
ACAD-1096,American Common Scoter
ACAD-1096,American Scoter
ACAD-1096,Black Scoter
ACAD-1096,Butter-Bill
ACAD-1096,Common Scoter
ACAD-1097,Surf Scoter
ACAD-1098,American Merganser
ACAD-1098,Common Merganser
ACAD-1099,Red-Breasted Merganser
ACAD-1100,Northern Ruddy Duck
ACAD-1100,Ruddy Duck
ACAD-1101,American Eider
ACAD-1101,Common Eider
ACAD-1101,Eider Duck
ACAD-1101,Northern Eider
ACAD-1102,King Eider
ACAD-1103,Chimney Swift
ACAD-1104,Ruby-Throated Hummingbird
ACAD-1105,Rufous Hummingbird
ACAD-1106,Chuck-Will's-Widow
ACAD-1107,Eastern Whip-Poor-Will
ACAD-1107,Whip-Poor-Will
ACAD-1108,Common Nighthawk
ACAD-1108,Eastern Nighthawk
ACAD-1109,Northern Razor-Billed Auk
ACAD-1109,Razorbill
ACAD-1110,Common Dovekie
ACAD-1110,Dovekie
ACAD-1111,Black Guillemot
ACAD-1111,Sea Pigeon
ACAD-1111,Southern Black Guillemot
ACAD-1112,Atlantic Puffin
ACAD-1113,Great Auk
ACAD-1114,Atlantic Murre
ACAD-1114,Common Murre
ACAD-1115,Brunnich's Murre
ACAD-1115,Brunnich's Thick-Billed Murre
ACAD-1115,Thick-Billed Murre
ACAD-1116,Eastern Piping Plover
ACAD-1116,Piping Plover
ACAD-1117,Ringed Plover
ACAD-1117,Semipalmated Plover
ACAD-1117,Semipalmated Ringed Plover
ACAD-1118,Killdeer
ACAD-1118,Northern Killdeer
ACAD-1119,American Golden Plover
ACAD-1119,American Golden-Plover
ACAD-1119,Eastern American Golden Plover
ACAD-1120,Black-Bellied Plover
ACAD-1121,American Oystercatcher
ACAD-1121,Eastern American Oystercatcher
ACAD-1122,American Black Tern
ACAD-1122,Black Tern
ACAD-1123,American Herring Gull
ACAD-1123,Herring Gull
ACAD-1124,Laughing Gull
ACAD-1125,Ring-Billed Gull
ACAD-1126,Lesser Black-Backed Gull
ACAD-1127,Eastern Iceland Gull
ACAD-1127,Iceland Gull
ACAD-1128,Eastern Glaucous Gull
ACAD-1128,Glaucous Gull
ACAD-1129,Great Black-Backed Gull
ACAD-1130,Little Gull
ACAD-1131,Bonaparte's Gull
ACAD-1132,Franklin's Gull
ACAD-1133,Black-Headed Gull
ACAD-1133,Western Black-Headed Gull
ACAD-1134,Ivory Gull
ACAD-1135,Atlantic Kittiwake
ACAD-1135,Black-Legged Kittiwake
ACAD-1136,Black Skimmer
ACAD-1136,Northern Black Skimmer
