common_name,Species ID
Bufflehead,ACAD-1086
American GoldenEye,ACAD-1087
Common Goldeneye,ACAD-1087
Barrows Goldeneye,ACAD-1088
Labrador Duck,ACAD-1089
Blue Goose,ACAD-1090
Snow Goose,ACAD-1090
LongTailed Duck,ACAD-1091
Old Squaw,ACAD-1091
Oldsquaw,ACAD-1091
Tundra Swan,ACAD-1092
Whistling Swan,ACAD-1092
Eastern Harlequin Duck,ACAD-1093
Harlequin Duck,ACAD-1093
Hooded Merganser,ACAD-1094
Eastern WhiteWinged Scoter,ACAD-1095
WhiteWinged Coot,ACAD-1095
WhiteWinged Scoter,ACAD-1095
American Common Scoter,ACAD-1096
American Scoter,ACAD-1096
Black Scoter,ACAD-1096
ButterBill,ACAD-1096
Common Scoter,ACAD-1096
Surf Scoter,ACAD-1097
American Merganser,ACAD-1098
Common Merganser,ACAD-1098
RedBreasted Merganser,ACAD-1099
Northern Ruddy Duck,ACAD-1100
Ruddy Duck,ACAD-1100
American Eider,ACAD-1101
Common Eider,ACAD-1101
Eider Duck,ACAD-1101
Northern Eider,ACAD-1101
King Eider,ACAD-1102
Chimney Swift,ACAD-1103
RubyThroated Hummingbird,ACAD-1104
Rufous Hummingbird,ACAD-1105
ChuckWillsWidow,ACAD-1106
Eastern WhipPoorWill,ACAD-1107
WhipPoorWill,ACAD-1107
Common Nighthawk,ACAD-1108
Eastern Nighthawk,ACAD-1108
Northern RazorBilled Auk,ACAD-1109
Razorbill,ACAD-1109
Common Dovekie,ACAD-1110
Dovekie,ACAD-1110
Black Guillemot,ACAD-1111
Sea Pigeon,ACAD-1111
Southern Black Guillemot,ACAD-1111
Atlantic Puffin,ACAD-1112
Great Auk,ACAD-1113
Atlantic Murre,ACAD-1114
Common Murre,ACAD-1114
Brunnichs Murre,ACAD-1115
Brunnichs ThickBilled Murre,ACAD-1115
ThickBilled Murre,ACAD-1115
Eastern Piping Plover,ACAD-1116
Piping Plover,ACAD-1116
Ringed Plover,ACAD-1117
Semipalmated Plover,ACAD-1117
Semipalmated Ringed Plover,ACAD-1117
Killdeer,ACAD-1118
Northern Killdeer,ACAD-1118
American Golden Plover,ACAD-1119
American GoldenPlover,ACAD-1119
Eastern American Golden Plover,ACAD-1119
BlackBellied Plover,ACAD-1120
American Oystercatcher,ACAD-1121
Eastern American Oystercatcher,ACAD-1121
American Black Tern,ACAD-1122
Black Tern,ACAD-1122
American Herring Gull,ACAD-1123
Herring Gull,ACAD-1123
