ParkID,Park Code,Park Name,Acres,Latitude,Longitude,ParkImageURL,State
19,GLAC,Glacier National Park,1013572,48.8,-114.0,https://upload.wikimedia.org/wikipedia/commons/5/51/Mountain_Goat_at_Hidden_Lake.jpg,MT
20,GLBA,Glacier Bay National Park and Preserve,3224840,58.5,-137.0,https://upload.wikimedia.org/wikipedia/commons/b/bf/A045%2C_Glacier_Bay_National_Park%2C_Alaska%2C_USA%2C_Johns_Hopkins_Glacier%2C_2002.jpg,AK
21,GRBA,Great Basin National Park,77180,38.98,-114.3,https://upload.wikimedia.org/wikipedia/commons/b/be/Prometheus_Wheeler.jpg,NV
22,GRCA,Grand Canyon National Park,1217403,36.06,-112.14,https://upload.wikimedia.org/wikipedia/commons/a/aa/Dawn_on_the_S_rim_of_the_Grand_Canyon_%288645178272%29.jpg,AZ
23,GRSA,Great Sand Dunes National Park and Preserve,42984,37.73,-105.51,https://upload.wikimedia.org/wikipedia/commons/4/48/Great_Sand_Dunes_National_Park_and_Preserve%2C_United_States_%28Unsplash%29.jpg,CO
24,GRSM,Great Smoky Mountains National Park,521490,35.68,-83.53,https://upload.wikimedia.org/wikipedia/commons/b/bc/View_atop_Cliff_Tops_on_Mount_LeConte%2C_GSMNP%2C_TN.jpg,"TN, NC"
25,GRTE,Grand Teton National Park,309995,43.73,-110.8,https://upload.wikimedia.org/wikipedia/commons/d/d0/Barns_grand_tetons.jpg,WY
26,GUMO,Guadalupe Mountains National Park,86416,31.92,-104.87,https://upload.wikimedia.org/wikipedia/commons/8/8f/Guadalupe_Peak_from_Hunter_Peak.jpg,TX
27,HALE,Haleakala National Park,29094,20.72,-156.17,https://upload.wikimedia.org/wikipedia/commons/6/6f/Haleakal%C4%81_2017%283%29.jpg,HI
28,HAVO,Hawaii Volcanoes National Park,323431,19.38,-155.2,https://upload.wikimedia.org/wikipedia/commons/8/89/P%C4%81hoehoe_and_Aa_flows_at_Hawaii.jpg,HI
29,HOSP,Hot Springs National Park,5550,34.51,-93.05,https://upload.wikimedia.org/wikipedia/commons/a/a1/Steamy_Entrance_Springs_on_Cold_Night_in_Hot_Springs_National_Park.jpg,AR
30,ISRO,Isle Royale National Park,571790,48.1,-88.55,https://upload.wikimedia.org/wikipedia/commons/6/67/Isle_Royale_shipwrecks_Lake_Superior.jpg,MI
31,JOTR,Joshua Tree National Park,789745,33.79,-115.9,https://upload.wikimedia.org/wikipedia/commons/f/f9/Joshua_Tree_-_Cyclops_%2B_Potato_Head_-_Sunrise.jpg,CA
32,KATM,Katmai National Park and Preserve,3674530,58.5,-155.0,https://upload.wikimedia.org/wikipedia/commons/1/1e/Katmai_Crater_1980.jpg,AK
33,KEFJ,Kenai Fjords National Park,669983,59.92,-149.65,https://upload.wikimedia.org/wikipedia/commons/c/cd/Kenai_Fjords_coast.jpg,AK
34,KOVA,Kobuk Valley National Park,1750717,67.55,-159.28,https://upload.wikimedia.org/wikipedia/commons/d/de/Kobuk_Bendlova_235.jpg,AK
35,LACL,Lake Clark National Park and Preserve,2619733,60.97,-153.42,https://upload.wikimedia.org/wikipedia/commons/a/ac/Lake_Clark_National_Park.jpg,AK
36,LAVO,Lassen Volcanic National Park,106372,40.49,-121.51,https://upload.wikimedia.org/wikipedia/commons/f/ff/Lassen_Peak_and_Lake_Helen.jpg,CA
37,MACA,Mammoth Cave National Park,52830,37.18,-86.1,https://upload.wikimedia.org/wikipedia/commons/b/b7/Lwt02830.jpg,KY
